Region,Location,date,Ave_INI,SD_INI,Ave_PF,SD_PF,Num_INI,Recorder
ONA,SE,1999/02/11,18.89375,0.587788468,21.1575,0.565190456,160,AR
ONA,SE,1999/02/19,18.71894737,0.67796547,21.64631579,1.277365184,95,AR
ONA,SE,1999/02/21,18.78444444,0.709472206,21.15333333,0.853966291,90,AR
ONA,SE,1999/02/26,18.56119403,0.510482607,21.38358209,0.657035817,67,AR
ONA,SE,1999/03/02,18.91785714,0.619708771,21.62321429,0.834699962,56,AR
ONA,SE,1999/03/08,18.65862069,0.541937552,21.52241379,0.615599295,58,AR
ONA,SE,1999/03/11,18.69382716,0.552798715,21.45555556,0.827194052,81,AR
ONA,SE,1999/03/13,18.81111111,0.652094255,21.31388889,0.554699654,72,AR
ONA,SE,1999/10/21,18.31184211,0.451610132,21.76842105,0.798465612,304,AR
ONA,SE,1999/10/23,18.45510204,0.587584791,21.76581633,0.798912624,196,AR
ONA,SE,1999/10/27,18.25363128,0.564119776,21.52458101,0.819056197,179,AR
ONA,SE,1999/10/29,18.70141844,0.840321861,21.44397163,0.824566448,141,AR
ONA,SE,1999/11/05,18.27375,0.687213634,22.056875,1.042349902,160,AR
ONA,SE,1999/11/08,18.86071429,0.584955535,21.1,0.498914484,84,AR
ONA,SE,1999/11/26,18.13965517,0.460789362,21.6887931,0.709166265,116,AR
ONA,SE,1999/11/29,17.65,0.909866552,22.77735849,1.283468739,106,AR
ONA,SE,1999/12/09,18.29139785,0.689011186,21.66290323,0.68589666,186,AR
ONA,SE,1999/12/12,18.12247191,0.563972112,22.15505618,1.275036007,267,AR
ONA,SE,1999/12/14,18.36666667,0.443788003,20.86666667,0.543600964,84,AR
ONA,SE,1999/12/30,18.48832727,0.488935767,21.35863636,0.725572018,220,AR
ONA,SE,2000/01/14,18.5614786,0.540863886,21.46848249,0.693650635,257,AR
ONA,SE,2000/01/17,18.79714286,0.577703867,21.33714286,0.809470048,105,AR
ONA,SE,2000/01/22,19.07204301,0.660264373,21.50752688,0.71645816,93,AR
ONA,SE,2000/01/28,18.9418251,0.605949901,20.90304183,0.53122919,263,AR
ONA,SE,2000/02/06,18.4893617,0.510843301,21.34361702,0.500872038,94,AR
ONA,SE,2000/02/11,18.27037037,0.342526625,21.58962963,0.675838238,135,AR
ONA,SE,2000/02/20,18.77755102,0.581424316,21.78163265,0.896646752,147,AR
ONA,SE,2000/02/23,18.97204301,0.585290982,21.57849462,0.692640769,186,AR
ONA,SE,2000/03/01,18.69593496,0.570360595,21.45121951,0.868800365,123,AR
ONA,SE,2000/03/05,18.44311927,0.520748566,21.31559633,0.653363706,109,AR
ONA,SE,2000/03/08,18.35906977,0.451579854,21.12697674,0.73243779,215,AR
ONA,SE,2000/03/17,19.21590909,0.438254032,20.85909091,0.449970636,44,AR
ONA,SE,2000/10/22,18.49351852,0.60751467,21.54305556,0.69244959,216,AR
ONA,SE,2000/10/30,13.14465116,0.893202128,22.11395349,1.092322698,215,AR
ONA,SE,2000/11/06,18.44615385,0.741312999,21.27972028,0.743474849,143,AR
ONA,SE,2000/11/20,18.28625954,0.789621463,21.39083969,0.975267252,131,AR
ONA,SE,2000/11/23,18.79878049,0.735601526,21.44146341,0.44276104,82,AR
ONA,SE,2000/11/28,17.88378378,1.512634478,21.22702703,0.905123886,37,AR
ONA,SE,2000/12/01,18.7152,0.631697151,21.2528,0.715223403,125,AR
ONA,SE,2000/12/04,18.40402685,0.547090485,21.71073826,1.078984817,149,AR
ONA,SE,2000/12/21,18.2754717,0.372331476,21.82264151,0.819788941,106,AR
ONA,SE,2000/12/30,18.84885845,0.57184401,21.37762557,0.772284723,219,AR
ONA,SE,2001/01/05,18.55758929,0.498189989,21.58303571,0.721966472,224,AR
ONA,SE,2001/01/07,18.77272727,0.578205568,22.06515152,0.825085995,66,AR
ONA,SE,2001/01/23,18.76091954,0.746520038,21.22413793,0.682158939,87,AR
ONA,SE,2001/01/25,18.94776119,0.556873907,21.35373134,0.553043469,67,AR
ONA,SE,2001/02/07,18.66100386,0.554041315,21.13552124,0.550028909,259,AR
ONA,SE,2001/02/14,19.03902439,0.54744211,21.31707317,0.821141163,82,AR
ONA,SE,2001/02/16,18.78715596,0.611479826,20.88440367,0.64738424,109,AR
ONA,SE,2001/02/20,18.87634409,0.604223873,21.29139785,0.599031086,93,AR
ONA,SE,2001/03/03,18.49261745,0.709024259,21.46912752,0.970225617,149,AR
ONA,SE,2001/03/18,18.9183908,0.653350708,21.70229885,0.946717341,87,AR
ONA,SE,2001/03/26,18.965625,0.676644088,21.3890625,1.009182789,64,AR
ONA,SE,2001/03/29,18.59327731,0.568484618,21.34537815,0.641469169,119,AR
ONA,CE,2002/10/01,12.46853933,0.289591766,21.50955056,0.930687626,178,AR
ONA,NE,2002/10/01,11.64108108,0.545574009,21.20324324,0.860352727,185,AR
ONA,NW,2002/10/06,12.07179487,2.939118051,22.08717949,1.458193062,78,AR
ONA,CW,2002/10/09,12.11186441,0.548063911,21.48135593,0.836551743,59,AR
ONA,NW,2002/10/12,17.90294118,2.16255815,21.47058824,0.797165209,34,AR
ONA,CE,2002/10/15,13.32436975,2.612647413,21.4487395,0.948671287,119,AR
ONA,CW,2002/10/17,12.10518519,0.640582584,21.03333333,0.6780129,135,AR
ONA,NW,2002/10/17,11.82941176,0.86747775,21.38039216,0.785880298,51,AR
ONA,CW,2002/10/22,11.96923077,0.363112877,21.72615385,1.313425498,65,AR
ONA,SE,2002/10/23,19.16125,0.312825931,21.5475,0.833191183,160,AR
ONA,NE,2002/10/25,12.17857143,0.515791923,21.21190476,0.864619808,84,AR
ONA,NW,2002/10/28,11.89542857,0.728312263,21.55714286,0.884504444,175,AR
ONA,NE,2002/10/29,11.9637931,0.380110841,21.34913793,0.663585393,232,AR
ONA,CE,2002/10/30,11.99391892,0.446182043,21.0972973,0.867629968,148,AR
ONA,CW,2002/10/30,19.1012987,0.462115703,21.26233766,0.84667134,77,AR
ONA,NE,2002/10/31,11.94558824,0.585504967,21.18676471,1.013035104,68,AR
ONA,CE,2002/11/02,12.1486692,0.309869674,21.34980989,0.784188915,263,AR
ONA,CW,2002/11/02,12.1947644,0.438866749,21.44188482,0.963177093,191,AR
ONA,NE,2002/11/10,12.06190476,0.34380629,21.13333333,0.881164918,63,AR
ONA,NW,2002/11/10,12.21132813,0.490606461,21.37070313,0.992778382,256,AR
ONA,CE,2002/11/11,12.00740741,1.167317989,21.23037037,0.803097927,135,AR
ONA,SE,2002/11/12,12.42886598,0.329759623,22.09587629,1.210967031,97,AR
ONA,NE,2002/11/13,12.18629442,0.373298828,21.28172589,0.754625915,197,AR
ONA,CW,2002/11/16,18.97878788,0.382133943,21.18181818,1.09814792,231,AR
ONA,SE,2002/11/17,13.75804878,2.546892782,22.27365854,1.2184001,205,AR
ONA,NW,2002/11/19,12.17028986,0.414765684,21.24130435,0.832876316,138,AR
ONA,SE,2002/11/19,12.26439394,0.771449768,21.41742424,0.886669402,132,AR
ONA,NE,2002/11/20,12.535625,2.111911319,21.5275,0.904701209,160,AR
ONA,NW,2002/11/23,12.20982143,0.35258628,21.175,0.883329084,112,AR
ONA,CE,2002/11/24,11.68852459,0.510581701,21.38032787,0.792072221,122,AR
ONA,CW,2002/11/25,11.78625,0.410474108,20.99125,0.709449915,160,AR
ONA,NE,2002/11/28,11.66590909,0.259644822,21.44545455,0.968204895,44,AR
ONA,CE,2002/11/30,12.09876543,0.350889522,21.44567901,0.867474695,81,AR
ONA,CW,2002/11/30,18.85426829,0.427627297,21.54573171,1.223258778,164,AR
ONA,NE,2002/12/01,12.09090909,0.472221354,21.61515152,0.837256036,66,AR
ONA,NE,2002/12/02,12.2398374,0.792561715,21.52601626,1.013097619,123,AR
ONA,NW,2002/12/04,12.3729927,0.363703105,21.0620438,0.726204009,137,AR
ONA,CE,2002/12/05,11.89736842,0.799386992,21.35614035,0.966156063,114,AR
ONA,CW,2002/12/05,12.24689655,0.464437409,21.66,0.843965507,145,AR
ONA,NE,2002/12/05,11.93276836,0.342367621,21.24915254,0.814995723,177,AR
ONA,NW,2002/12/08,12.32047619,0.408181592,21.18619048,1.062203975,210,AR
ONA,SE,2002/12/08,12.21505792,0.517040153,21.47876448,0.945477207,259,AR
ONA,CW,2002/12/11,13.08352941,2.514143187,21.29647059,0.888477437,85,AR
ONA,CE,2002/12/12,12.09202128,0.470396533,21.49468085,0.877815351,188,AR
ONA,CW,2002/12/14,12.84787234,0.8566914,21.37021277,0.840101093,94,AR
ONA,SE,2002/12/14,12.47433628,0.36222989,21.98053097,0.981876702,113,AR
ONA,NW,2002/12/15,12.65043478,1.50504263,21.45652174,0.765383797,115,AR
ONA,NE,2002/12/19,12.07487179,0.348094014,20.94615385,0.54765016,195,AR
ONA,CW,2002/12/23,11.77638889,0.464664973,21.15138889,0.838004514,72,AR
ONA,SW,2002/12/24,18.8175,0.412551473,21.57,0.855210276,40,AR
ONA,SE,2002/12/26,12.09719626,0.472739496,21.97757009,1.423807572,107,AR
ONA,SE,2002/12/28,15.04275093,3.413088484,21.88066914,1.030286657,269,AR
ONA,CE,2002/12/30,12.08712871,0.359287123,21.00792079,0.818101572,202,AR
ONA,NW,2002/12/31,12.25125,0.31622528,21.091875,0.789791141,160,AR
ONA,SW,2003/01/01,18.99310345,0.551190759,21.18793103,0.745531151,58,AR
ONA,NW,2003/01/02,12.48837209,0.490718226,21.45581395,1.119412099,86,AR
ONA,NE,2003/01/03,12.44094488,0.410256275,21.30708661,0.963309532,127,AR
ONA,NW,2003/01/04,12.33555556,0.281356742,21.49555556,0.868895735,45,AR
ONA,SW,2003/01/04,18.79052632,0.324225324,22.05263158,1.361854345,95,AR
ONA,CW,2003/01/05,18.70612245,0.299822891,21.17959184,0.825612166,147,AR
ONA,CW,2003/01/07,15.50481928,3.057892771,21.37590361,0.836308725,83,AR
ONA,NE,2003/01/07,12.39189189,0.767982013,21.3472973,0.875108287,74,AR
ONA,SW,2003/01/09,18.57035714,0.556757009,21.43964286,1.308655996,280,AR
ONA,CE,2003/01/10,12.38414634,0.385371237,21.19390244,0.744750776,82,AR
ONA,NE,2003/01/14,12.56057692,0.366409572,21.17115385,0.785632276,104,AR
ONA,CE,2003/01/15,12.17352941,0.365601543,21.36470588,0.860450305,136,AR
ONA,CW,2003/01/16,12.46818182,1.179100329,21.45681818,0.838136171,132,AR
ONA,SE,2003/01/17,11.93131313,1.536007513,21.16111111,0.785239966,198,AR
ONA,NW,2003/01/18,11.92641509,0.394262185,20.70754717,0.743135006,53,AR
ONA,SE,2003/01/19,12.2245098,0.656941047,21.28431373,0.752914482,102,AR
ONA,NE,2003/01/23,12.05811966,0.5701239,21.36752137,0.947758614,117,AR
ONA,SE,2003/01/23,12.19632353,0.620681595,21.58823529,0.979195348,136,AR
ONA,CE,2003/01/24,12.16514286,0.428022528,21.31028571,0.816220212,175,AR
ONA,NW,2003/01/25,19.65769231,0.397163016,21.07307692,0.891541448,26,AR
ONA,SE,2003/01/26,12.14715447,0.390528268,21.3195122,1.15699289,123,AR
ONA,CE,2003/01/28,12.20434783,0.349972597,21.07971014,0.579193077,69,AR
ONA,CW,2003/01/28,12.34666667,0.378741588,20.81866667,0.784017075,150,AR
ONA,SW,2003/02/01,18.09069767,1.916598625,21.21782946,1.124336583,129,AR
ONA,CE,2003/02/02,12.20461538,0.476235486,21.15538462,1.02390509,130,AR
ONA,NE,2003/02/04,12.132,0.357770876,21.0192,0.732395099,125,AR
ONA,CW,2003/02/05,12.23225806,0.313095311,21.53087558,1.037766328,217,AR
ONA,SE,2003/02/06,12.05024876,0.281802125,21.46965174,0.861756565,201,AR
ONA,NE,2003/02/07,12.02432432,0.345543372,21.26756757,0.723596063,74,AR
ONA,CW,2003/02/08,12.04104478,0.348835374,21.22238806,0.81292582,134,AR
ONA,NW,2003/02/08,19.0255814,0.415814189,21.19534884,0.796107641,43,AR
ONA,SW,2003/02/08,18.68440367,0.486532793,21.40183486,0.91137023,218,AR
ONA,SE,2003/02/09,18.68296703,0.288616416,21.19505495,0.892341725,182,AR
ONA,NE,2003/02/12,12.385,1.128244968,21.0875,0.609912839,80,AR
ONA,NW,2003/02/12,12.55700935,0.310237934,21.39158879,0.966429091,107,AR
ONA,CE,2003/02/13,11.8719697,0.448630553,21.33484848,0.909154867,132,AR
ONA,SE,2003/02/15,11.73333333,0.372496474,21.37099567,0.818364411,231,AR
ONA,SW,2003/02/16,18.63512397,0.588730423,21.90413223,1.30313358,242,AR
ONA,CW,2003/02/18,18.96875,0.319660038,21.3265625,0.763085255,64,AR
ONA,NW,2003/02/21,12.72580645,0.330652301,21.11290323,0.705415136,217,AR
ONA,CW,2003/02/22,18.58974359,1.683322978,21.16666667,0.86855395,39,AR
ONA,SE,2003/02/22,16.4,3.389708462,21.96219512,0.94798555,82,AR
ONA,NE,2003/02/23,12.47222222,0.689073452,21.12857143,1.033429796,126,AR
ONA,NW,2003/02/24,12.7047619,0.618525068,21.52190476,0.910513481,105,AR
ONA,NW,2003/03/02,13.79772727,2.623107392,21.49318182,0.873750996,44,AR
ONA,SE,2003/03/02,19.04285714,0.407633921,21.34285714,0.824849041,77,AR
ONA,CW,2003/03/04,19.209,0.393660624,21.381,1.004403939,100,AR
ONA,NE,2003/03/04,12.52702703,0.327149854,21.52702703,0.763270976,37,AR
ONA,CE,2003/03/05,12.25,0.367327616,21.90694444,1.347122796,72,AR
ONA,SW,2003/03/05,18.91754386,0.571611157,20.98684211,0.666308544,228,AR
ONA,SE,2003/03/07,19.23269231,0.324543685,21.37980769,0.936568806,104,AR
ONA,CE,2003/03/10,12.63289474,0.874130144,21.19078947,1.102624461,76,AR
ONA,NW,2003/03/10,18.89114583,0.303685459,21.3640625,0.889620283,192,AR
ONA,CW,2003/03/11,12.6195122,0.322198859,21.1195122,0.819129171,82,AR
ONA,NW,2003/03/14,19.21647059,0.317664204,21.64941176,0.963121593,170,AR
ONA,SW,2003/03/15,18.93690476,0.573465425,21.48333333,1.109958572,84,AR
ONA,CW,2003/03/16,12.49827586,0.540335385,20.9408046,0.916831334,174,AR
ONA,CE,2003/03/17,12.17342657,0.795582084,21.11328671,0.814675064,143,AR
ONA,NE,2003/03/18,12.31587302,0.395215886,20.89365079,0.998849825,63,AR
ONA,SE,2003/03/19,18.45714286,2.322451033,21.11904762,0.682230011,63,AR
ONA,SW,2003/03/20,18.582,0.509777863,21.13,0.758691139,50,AR
ONA,NE,2003/03/26,19.35271318,0.429403205,21.0379845,1.012129083,129,AR
ONA,SE,2003/03/28,19.05714286,1.478009965,21.44,0.876157619,70,AR
ONA,NW,2003/03/29,18.8775,0.296959043,21.319,0.822631517,200,AR
ONA,SW,2003/03/29,18.12588235,0.568027695,21.14588235,0.670741051,85,AR
ONA,CE,2003/03/30,12.25277778,0.419390829,21.14087302,0.826235663,252,AR
ONA,CW,2003/03/30,18.99153846,0.926110029,21.44230769,0.847327343,130,AR
ONA,SE,2004/10/09,12.57537313,0.351246238,21.76492537,1.251901259,134,AR
ONA,SE,2004/11/03,12.66981982,0.310216628,21.38153153,0.766121688,222,AR
ONA,SE,2004/11/12,12.7963964,0.778259798,20.84684685,0.579798657,222,AR
ONA,SE,2004/11/20,13.32240803,1.467591583,21.13010033,0.739011441,299,AR
ONA,SE,2004/11/29,12.72553191,0.245939672,21.47801418,1.017847322,141,AR
ONA,SE,2004/12/02,12.59268293,0.332445172,21.21056911,0.967319518,123,AR
ONA,SE,2004/12/10,12.36705882,0.398625088,21.24941176,0.834469254,85,AR
ONA,SE,2004/12/15,12.6826087,0.336788511,21.70948617,1.023914898,253,AR
ONA,SE,2004/12/25,12.79619048,0.325494833,21.49904762,0.973247462,105,AR
ONA,SE,2005/01/01,12.69083969,0.366784443,21.35496183,0.981146405,131,AR
ONA,SE,2005/01/11,12.53443709,0.27761997,21.41258278,0.795261352,151,AR
ONA,SE,2005/01/22,12.47903226,0.315010438,20.91935484,0.557240212,124,AR
ONA,SE,2005/01/28,12.58556701,0.316553606,21.27113402,0.778213601,97,AR
ONA,SE,2005/02/08,12.81487603,0.390653546,21.23305785,0.786382904,121,AR
ONA,SE,2005/02/14,14.975,3.147264063,21.10595238,0.847157002,84,AR
ONA,SE,2005/02/26,12.67567568,0.263699087,21.11891892,0.982542923,74,AR
ONA,SE,2005/02/28,12.85,0.419107251,21.39705882,0.81134168,170,AR
ONA,SE,2005/03/13,12.76363636,0.224387278,21.08939394,0.759378043,66,AR
ONA,SE,2005/03/24,12.59844961,0.360551768,20.91782946,0.823905487,129,AR
ONA,SE,2005/03/28,12.58125,0.282200455,21.28125,0.792479775,32,AR
ONA,SE,2006/01/06,12.86317391,0.162574851,21.74624845,0.760656674,161,AR
ONA,SE,2007/01/10,13.46109756,0.213347698,21.37753659,0.7690317,41,AR
ONA,SE,2007/01/31,13.2735,0.231853019,21.71720213,0.444808611,94,AR
Icelandic Waters,Iceland,2007/02/15,12.53958333,0.347476975,45.26666667,2.136544569,48,AR
Icelandic Waters,Iceland,2007/02/17,12.79264706,0.221654504,21.53602941,1.955303246,136,AR
Icelandic Waters,Iceland,2007/03/11,12.50380952,0.224860559,22.21142857,1.803805501,105,AR
Greenland Sea,Greenland,2007/10/08,12.86956522,0.174342355,21.36521739,1.991940282,23,AR
Greenland Sea,Greenland,2007/10/21,13.05510204,0.30690744,21.27142857,0.812147359,49,AR
Greenland Sea,Greenland,2007/10/24,13.06179775,0.149624999,21.26966292,0.912838293,89,AR
